parent_category;subcategory;front_de;back_de;front_en;back_en;is_bidirectional;map_region
Geografie;Deutschland;Wo liegt Saarland?;im Westen, kleinstes Flächenland, grenzt an Frankreich. Hauptstadt: Saarbrücken.;Where is Saarland located?;in the west, the smallest area state, borders France. Capital: Saarbrücken.;1;DE:Saarland
Geografie;Deutschland;Wo liegt Berlin?;Stadtstaat im Osten, komplett von Brandenburg umschlossen, Hauptstadt Deutschlands. Hauptstadt: Berlin.;Where is Berlin located?;a city-state in the east, entirely surrounded by Brandenburg, capital of Germany. Capital: Berlin.;1;DE:Berlin
Geografie;Deutschland;Wo liegt Hamburg?;Stadtstaat im Norden, an der Elbe, größter deutscher Seehafen. Hauptstadt: Hamburg.;Where is Hamburg located?;a city-state in the north, on the Elbe, Germany's largest sea port. Capital: Hamburg.;1;DE:Hamburg
Geografie;Deutschland;Wo liegt Bremen?;kleinster Stadtstaat im Nordwesten, an der Weser. Hauptstadt: Bremen.;Where is Bremen located?;the smallest city-state in the north-west, on the Weser. Capital: Bremen.;1;DE:Bremen
Geografie;Deutschland;Wie viele Bundesländer hat Deutschland?;16 Bundesländer, davon drei Stadtstaaten: Berlin, Hamburg und Bremen.;How many federal states does Germany have?;16 federal states, three of them city-states: Berlin, Hamburg and Bremen.;0;
Geografie;Deutschland;An welche Länder grenzt Deutschland?;An neun Länder: Dänemark, Polen, Tschechien, Österreich, Schweiz, Frankreich, Luxemburg, Belgien und die Niederlande.;Which countries border Germany?;Nine countries: Denmark, Poland, the Czech Republic, Austria, Switzerland, France, Luxembourg, Belgium and the Netherlands.;0;
Geografie;Deutschland;Woraus besteht der deutsche Strommix grob?;Der größte Teil kommt heute aus erneuerbaren Energien, vor allem Windkraft, dazu Solar und Biomasse. Ergänzt wird er durch Erdgas und noch etwas Kohle. Kernkraft spielt seit dem Atomausstieg 2023 keine Rolle mehr.;What does the German electricity mix roughly consist of?;The largest share today comes from renewables, above all wind, plus solar and biomass. It is supplemented by natural gas and still some coal. Nuclear power has played no role since the nuclear phase-out in 2023.;0;
Geografie;Deutschland;Warum steht im Norden Deutschlands viel Windkraft, im Süden aber der Verbrauch?;An der Küste und im Norden weht der Wind stark und stetig, dort stehen viele Windräder. Große Industrie und viele Menschen sitzen aber im Süden und Westen. Deshalb muss der Strom über weite Strecken von Nord nach Süd transportiert werden, wofür große Nord-Süd-Leitungen gebaut werden.;Why is there a lot of wind power in northern Germany but the demand in the south?;On the coast and in the north the wind blows strongly and steadily, so many turbines stand there. But large industry and many people are in the south and west. That is why electricity has to be transported over long distances from north to south, which is why large north-south power lines are being built.;0;
Geografie;Deutschland;Was ist ein Stadtstaat?;Ein Bundesland, das nur aus einer Stadt und ihrem Umland besteht und zugleich eine Stadt und ein Land ist. In Deutschland sind das Berlin, Hamburg und Bremen.;What is a city-state?;A federal state that consists only of a city and its surroundings and is both a city and a state at once. In Germany these are Berlin, Hamburg and Bremen.;0;
Geografie;Deutschland;An welche zwei Meere grenzt Deutschland?;An die Nordsee im Nordwesten und die Ostsee im Nordosten. Beide sind Randmeere des Atlantiks.;Which two seas border Germany?;The North Sea in the north-west and the Baltic Sea in the north-east. Both are marginal seas of the Atlantic.;0;
Geografie;Deutschland;Warum sind Nord- und Ostsee für die deutsche Energie wichtig?;In Nord- und Ostsee stehen große Offshore-Windparks, also Windräder im Meer. Dort weht der Wind stark und gleichmäßig. Ihr Strom wird über Seekabel und Konverter an Land gebracht und ins Netz eingespeist.;Why are the North Sea and Baltic Sea important for German energy?;The North and Baltic Seas hold large offshore wind farms, meaning wind turbines at sea. The wind there is strong and steady. Their electricity is brought ashore through submarine cables and converters and fed into the grid.;0;
Geografie;Europa;Wo liegt Frankreich und woher kommt dort der Strom?;Frankreich liegt westlich von Deutschland, größtes Land der EU nach Fläche. Hauptstadt: Paris. Energie: Kernenergie deckt den größten Teil des Stroms, dazu Wasserkraft.;Where is France and where does its electricity come from?;France is west of Germany, the largest EU country by area. Capital: Paris. Energy: nuclear energy covers most of the electricity, plus hydropower.;1;EU:FR
Geografie;Europa;Wo liegt Polen und woher kommt dort der Strom?;Polen liegt östlich von Deutschland. Hauptstadt: Warschau. Energie: Strom stammt bisher stark aus Kohle, erneuerbare wachsen.;Where is Poland and where does its electricity come from?;Poland is east of Germany. Capital: Warsaw. Energy: electricity so far relies heavily on coal, renewables are growing.;1;EU:PL
Geografie;Europa;Wo liegt Norwegen und woher kommt dort der Strom?;Norwegen liegt in Nordeuropa, auf der skandinavischen Halbinsel. Hauptstadt: Oslo. Energie: fast der gesamte Strom kommt aus Wasserkraft.;Where is Norway and where does its electricity come from?;Norway is in northern Europe, on the Scandinavian peninsula. Capital: Oslo. Energy: almost all electricity comes from hydropower.;1;EU:NO
Geografie;Europa;Wo liegt Spanien und woher kommt dort der Strom?;Spanien liegt im Südwesten Europas, auf der Iberischen Halbinsel. Hauptstadt: Madrid. Energie: viel Wind und Sonne, dazu etwas Kernkraft.;Where is Spain and where does its electricity come from?;Spain is in south-west Europe, on the Iberian peninsula. Capital: Madrid. Energy: a lot of wind and sun, plus some nuclear power.;1;EU:ES
Geografie;Europa;Wo liegt Italien und woher kommt dort der Strom?;Italien liegt im Süden Europas, stiefelförmige Halbinsel. Hauptstadt: Rom. Energie: stark abhängig von Erdgas, dazu Wasserkraft und Solar.;Where is Italy and where does its electricity come from?;Italy is in southern Europe, a boot-shaped peninsula. Capital: Rome. Energy: heavily dependent on natural gas, plus hydropower and solar.;1;EU:IT
Geografie;Europa;Wo liegt Vereinigtes Königreich und woher kommt dort der Strom?;Vereinigtes Königreich liegt Inselstaat nordwestlich des europäischen Festlands. Hauptstadt: London. Energie: viel Windkraft, vor allem auf See, dazu Erdgas und Kernkraft.;Where is the United Kingdom and where does its electricity come from?;The United Kingdom is an island state north-west of the European mainland. Capital: London. Energy: a lot of wind power, especially offshore, plus natural gas and nuclear.;1;EU:GB
Geografie;Europa;Wo liegt Schweden und woher kommt dort der Strom?;Schweden liegt in Nordeuropa, östlich von Norwegen. Hauptstadt: Stockholm. Energie: Strom vor allem aus Wasserkraft und Kernkraft.;Where is Sweden and where does its electricity come from?;Sweden is in northern Europe, east of Norway. Capital: Stockholm. Energy: electricity mainly from hydropower and nuclear.;1;EU:SE
Geografie;Europa;Wo liegt Niederlande und woher kommt dort der Strom?;Niederlande liegt nordwestlich von Deutschland, an der Nordsee. Hauptstadt: Amsterdam. Energie: traditionell viel Erdgas, wachsender Ausbau von Windkraft auf See.;Where is the Netherlands and where does its electricity come from?;The Netherlands is north-west of Germany, on the North Sea. Capital: Amsterdam. Energy: traditionally a lot of natural gas, growing offshore wind.;1;EU:NL
Geografie;Europa;Wo liegt Österreich und woher kommt dort der Strom?;Österreich liegt südlich von Deutschland, in den Alpen. Hauptstadt: Wien. Energie: sehr viel Wasserkraft dank der Berge.;Where is Austria and where does its electricity come from?;Austria is south of Germany, in the Alps. Capital: Vienna. Energy: a lot of hydropower thanks to the mountains.;1;EU:AT
Geografie;Europa;Wo liegt Schweiz und woher kommt dort der Strom?;Schweiz liegt südlich von Deutschland, in den Alpen. Hauptstadt: Bern. Energie: Strom vor allem aus Wasserkraft und Kernkraft.;Where is Switzerland and where does its electricity come from?;Switzerland is south of Germany, in the Alps. Capital: Bern. Energy: electricity mainly from hydropower and nuclear.;1;EU:CH
Geografie;Europa;Was ist der Unterschied zwischen Europa und der EU?;Europa ist ein Kontinent mit über 40 Ländern. Die Europäische Union ist ein Zusammenschluss von derzeit 27 dieser Länder mit gemeinsamen Regeln und Markt. Nicht jedes europäische Land ist in der EU, zum Beispiel Norwegen und die Schweiz nicht.;What is the difference between Europe and the EU?;Europe is a continent with more than 40 countries. The European Union is an association of currently 27 of these countries with common rules and a common market. Not every European country is in the EU, for example Norway and Switzerland are not.;0;
Geografie;Europa;Warum sind die europäischen Stromnetze miteinander verbunden?;Die Länder tauschen Strom aus, um Schwankungen auszugleichen. Wenn in einem Land gerade viel Wind weht, kann es Strom exportieren, und umgekehrt Strom importieren, wenn wenig erzeugt wird. Das macht die Versorgung sicherer und günstiger. Koordiniert wird der Verbund über die ENTSO-E.;Why are the European power grids connected?;Countries exchange electricity to balance out fluctuations. When one country has a lot of wind, it can export electricity, and import when little is generated. This makes supply more secure and cheaper. The interconnection is coordinated through ENTSO-E.;0;
Geografie;Europa;Welche europäischen Länder setzen stark auf Wasserkraft?;Vor allem Länder mit Bergen und viel Wasser: Norwegen, Österreich, die Schweiz und Schweden erzeugen einen großen Teil ihres Stroms aus Wasserkraft.;Which European countries rely heavily on hydropower?;Above all countries with mountains and a lot of water: Norway, Austria, Switzerland and Sweden generate a large share of their electricity from hydropower.;0;
Geografie;Europa;Welches große Meer liegt zwischen Europa und Afrika?;Das Mittelmeer. Es grenzt an Südeuropa, Nordafrika und den Nahen Osten und ist über die Straße von Gibraltar mit dem Atlantik verbunden.;Which large sea lies between Europe and Africa?;The Mediterranean Sea. It borders southern Europe, North Africa and the Middle East and is connected to the Atlantic through the Strait of Gibraltar.;0;
Geografie;Europa;Was ist die Nordsee und welche Länder grenzen an sie?;Die Nordsee ist ein Randmeer des Atlantiks im Nordwesten Europas. An sie grenzen unter anderem Deutschland, die Niederlande, Belgien, Dänemark, Norwegen und Großbritannien. Sie ist eine der wichtigsten Regionen für Offshore-Windkraft.;What is the North Sea and which countries border it?;The North Sea is a marginal sea of the Atlantic in north-west Europe. Countries bordering it include Germany, the Netherlands, Belgium, Denmark, Norway and Great Britain. It is one of the most important regions for offshore wind power.;0;
Geografie;Europa;Was ist die Ostsee?;Die Ostsee ist ein fast geschlossenes Randmeer im Nordosten Europas, umgeben von Deutschland, Polen, dem Baltikum, Skandinavien und Dänemark. Sie ist salzärmer als die Nordsee und ebenfalls wichtig für Windkraft und Seekabel.;What is the Baltic Sea?;The Baltic Sea is an almost enclosed marginal sea in north-eastern Europe, surrounded by Germany, Poland, the Baltic states, Scandinavia and Denmark. It is less salty than the North Sea and also important for wind power and submarine cables.;0;
Geografie;Welt;Welche sieben Kontinente gibt es?;Asien, Afrika, Nordamerika, Südamerika, Antarktis, Europa und Australien (Ozeanien).;What are the seven continents?;Asia, Africa, North America, South America, Antarctica, Europe and Australia (Oceania).;0;
Geografie;Welt;Welches ist flächenmäßig das größte Land der Welt?;Russland. Es erstreckt sich über Europa und Asien und ist der größte Erdgas-Exporteur der Welt.;Which is the largest country in the world by area?;Russia. It spans Europe and Asia and is the world's largest natural gas exporter.;0;
Geografie;Welt;Welche Rolle spielt China in der Energiewelt?;"China: größter Stromverbraucher und -erzeuger der Welt; viel Kohle, baut aber Wind und Solar massiv aus.";What role does China play in the world of energy?;"China: the world's largest electricity consumer and producer; a lot of coal, but massively expanding wind and solar.";0;WORLD:CN
Geografie;Welt;Welche Rolle spielt USA in der Energiewelt?;"USA: zweitgrößter Energieverbraucher; Mix aus Erdgas, Kohle, Kernkraft und wachsenden Erneuerbaren.";What role does USA play in the world of energy?;"USA: the second-largest energy consumer; a mix of natural gas, coal, nuclear and growing renewables.";0;WORLD:US
Geografie;Welt;Welche Rolle spielt Russland in der Energiewelt?;Russland: einer der größten Exporteure von Erdgas und Erdöl.;What role does Russia play in the world of energy?;Russia: one of the largest exporters of natural gas and crude oil.;0;WORLD:RU
Geografie;Welt;Welche Rolle spielt Saudi-Arabien in der Energiewelt?;Saudi-Arabien: einer der größten Erdöl-Exporteure der Welt.;What role does Saudi Arabia play in the world of energy?;Saudi Arabia: one of the world's largest crude oil exporters.;0;WORLD:SA
Geografie;Welt;Welche Rolle spielt Norwegen in der Energiewelt?;Norwegen: wichtiger Öl- und Gaslieferant Europas, im Inland fast nur Wasserkraft.;What role does Norway play in the world of energy?;Norway: an important oil and gas supplier for Europe, domestically almost only hydropower.;0;WORLD:NO
Geografie;Welt;Welche Rolle spielt Brasilien in der Energiewelt?;Brasilien: erzeugt sehr viel Strom aus Wasserkraft, dazu Bioenergie.;What role does Brazil play in the world of energy?;Brazil: generates a lot of electricity from hydropower, plus bioenergy.;0;WORLD:BR
Geografie;Welt;Welche Rolle spielt Australien in der Energiewelt?;Australien: großer Exporteur von Kohle und Flüssiggas (LNG).;What role does Australia play in the world of energy?;Australia: a major exporter of coal and liquefied natural gas (LNG).;0;WORLD:AU
Geografie;Welt;Welche Rolle spielt Katar in der Energiewelt?;Katar: einer der größten Exporteure von Flüssiggas (LNG).;What role does Qatar play in the world of energy?;Qatar: one of the largest exporters of liquefied natural gas (LNG).;0;WORLD:QA
Geografie;Welt;Was ist die OPEC?;Die OPEC ist ein Zusammenschluss wichtiger Erdöl-Exportländer, die ihre Fördermengen abstimmen und so den Ölpreis beeinflussen. Zu ihr gehören zum Beispiel Saudi-Arabien und weitere Länder des Nahen Ostens.;What is OPEC?;OPEC is an association of major oil-exporting countries that coordinate their production volumes and thereby influence the oil price. Members include, for example, Saudi Arabia and other Middle Eastern countries.;0;
Geografie;Welt;Warum ist Erdöl so ungleich über die Welt verteilt?;Erdöl entstand vor Millionen Jahren nur dort, wo bestimmte geologische Bedingungen herrschten. Deshalb liegen große Vorkommen in wenigen Regionen wie dem Nahen Osten, Russland und Teilen Amerikas. Das macht diese Länder wirtschaftlich und politisch mächtig.;Why is crude oil so unevenly distributed around the world?;Crude oil formed millions of years ago only where certain geological conditions existed. That is why large deposits lie in a few regions such as the Middle East, Russia and parts of the Americas. This makes these countries economically and politically powerful.;0;
Geografie;Welt;Welche fünf Ozeane gibt es?;Pazifik, Atlantik, Indischer Ozean, Südlicher Ozean (Antarktis) und Arktischer Ozean (Nordpolarmeer).;What are the five oceans?;Pacific, Atlantic, Indian Ocean, Southern Ocean (Antarctic) and Arctic Ocean.;0;
Geografie;Welt;Welcher ist der größte Ozean der Erde?;Der Pazifik. Er liegt zwischen Amerika im Osten und Asien und Australien im Westen und ist größer als alle Landflächen zusammen.;Which is the largest ocean on Earth?;The Pacific. It lies between the Americas in the east and Asia and Australia in the west and is larger than all land areas combined.;0;
Geografie;Welt;Wo liegt der Atlantik?;Der Atlantische Ozean liegt zwischen Amerika im Westen und Europa und Afrika im Osten. Über ihn verlaufen wichtige Schifffahrts- und Datenleitungen zwischen den Kontinenten.;Where is the Atlantic located?;The Atlantic Ocean lies between the Americas in the west and Europe and Africa in the east. Important shipping and data routes between the continents run across it.;0;
Geografie;Welt;Wo liegt der Indische Ozean?;Der Indische Ozean liegt südlich von Asien, östlich von Afrika und westlich von Australien. Durch ihn führen wichtige Öl-Transportwege aus dem Nahen Osten.;Where is the Indian Ocean located?;The Indian Ocean lies south of Asia, east of Africa and west of Australia. Important oil transport routes from the Middle East pass through it.;0;
Geografie;Welt;Was ist ein Randmeer?;Ein Randmeer ist ein Meer am Rand eines Ozeans, das durch Inseln oder Halbinseln teilweise abgetrennt ist, aber offen mit dem Ozean verbunden bleibt. Nordsee und Ostsee sind Randmeere des Atlantiks.;What is a marginal sea?;A marginal sea is a sea at the edge of an ocean, partly separated by islands or peninsulas but still openly connected to the ocean. The North Sea and Baltic Sea are marginal seas of the Atlantic.;0;
