parent_category;subcategory;front_de;back_de;front_en;back_en;is_bidirectional
Energie;Strom und Elektrotechnik;Was ist ein Wirkungsgrad?;Der Wirkungsgrad ist das Verhältnis von nutzbarer abgegebener Energie zur zugeführten Energie. Er wird häufig als Prozentwert angegeben.;What is efficiency?;Efficiency is the ratio of usable output energy to input energy. It is often given as a percentage.;0
Energie;Strom und Elektrotechnik;Was sind Volllaststunden?;Volllaststunden sind der Jahresertrag geteilt durch die Nennleistung. Sie zeigen, wie lange eine Anlage rechnerisch mit voller Leistung hätte laufen müssen, um ihren tatsächlichen Ertrag zu erzeugen.;What are full-load hours?;Full-load hours are the annual yield divided by the rated power. They show how long a plant would have had to run at full power to produce its actual yield.;0
Energie;Strom und Elektrotechnik;Was ist der Kapazitätsfaktor?;Der Kapazitätsfaktor ist das Verhältnis des tatsächlichen Ertrags zum theoretischen Ertrag bei durchgehender Nennleistung im betrachteten Zeitraum.;What is the capacity factor?;The capacity factor is the ratio of actual output to the theoretical output if the plant ran at rated power the whole time.;0
Energie;Strom und Elektrotechnik;Was ist eine prozentuale Abweichung?;Eine prozentuale Abweichung vergleicht die Differenz zwischen Istwert und Vergleichswert mit dem Vergleichswert: (Istwert − Vergleichswert) / Vergleichswert · 100.;What is a percentage deviation?;A percentage deviation compares the difference between an actual value and a reference value with the reference value: (actual value − reference value) / reference value · 100.;0
Energie;Strom und Elektrotechnik;Wann addiert man Viertelstundenwerte?;Energiemengen über mehrere Zeitintervalle werden normalerweise addiert. Leistungswerte oder Preise werden je nach Fragestellung gemittelt oder zeitlich gewichtet.;When do you add up quarter-hour values?;Amounts of energy over several time intervals are usually added up. Power values or prices are averaged or time-weighted depending on the question.;0
Energie;Strom und Elektrotechnik;Was bedeutet 1 kW?;1 kW sind 1.000 W. kW ist eine Einheit der Leistung und sagt, wie schnell Energie umgesetzt oder übertragen wird.;What does 1 kW mean?;1 kW is 1,000 W. kW is a unit of power and shows how quickly energy is converted or transferred.;0
Energie;Strom und Elektrotechnik;Wie hängen W, kW, MW und GW zusammen?;1 kW = 1.000 W, 1 MW = 1.000 kW und 1 GW = 1.000 MW. Jede Stufe ist tausendmal größer als die vorherige.;How do W, kW, MW and GW relate to each other?;1 kW = 1,000 W, 1 MW = 1,000 kW and 1 GW = 1,000 MW. Each step is a thousand times larger than the one before.;0
Energie;Strom und Elektrotechnik;Wie hängen Wh, kWh, MWh, GWh und TWh zusammen?;1 kWh = 1.000 Wh, 1 MWh = 1.000 kWh, 1 GWh = 1.000 MWh und 1 TWh = 1.000 GWh. Diese Einheiten messen Energiemengen.;How do Wh, kWh, MWh, GWh and TWh relate to each other?;1 kWh = 1,000 Wh, 1 MWh = 1,000 kWh, 1 GWh = 1,000 MWh and 1 TWh = 1,000 GWh. These units measure amounts of energy.;0
Energie;Strom und Elektrotechnik;Warum ist kW/h nicht dasselbe wie kWh?;kWh ist eine Energiemenge. kW/h beschreibt dagegen eine Änderung der Leistung pro Zeit und wird im normalen Stromverbrauch fast nie gebraucht. Für Verbrauch ist kWh die richtige Einheit.;Why is kW/h not the same as kWh?;kWh is an amount of energy. kW/h, by contrast, describes a change in power per time and is almost never needed for everyday electricity use. kWh is the right unit for consumption.;0
Energie;Strom und Elektrotechnik;Was kann man sich unter 1 kWh vorstellen?;Ein Heizgerät mit 1 kW kann eine Stunde laufen. Ein Wasserkocher mit 2 kW verbraucht bei 30 Minuten Laufzeit ungefähr 1 kWh. Eine LED-Lampe mit 10 W könnte theoretisch 100 Stunden leuchten.;What can you picture as 1 kWh?;A 1 kW heater can run for one hour. A 2 kW kettle uses roughly 1 kWh in 30 minutes. A 10 W LED lamp could theoretically shine for 100 hours.;0
Energie;Strom und Elektrotechnik;Wie viel Energie entspricht 100 Euro pro MWh?;100 €/MWh entsprechen 10 ct/kWh. Eine MWh enthält 1.000 kWh, deshalb wird der Euro-pro-MWh-Wert durch 100 geteilt, wenn man ihn in ct/kWh umrechnet.;How much energy does 100 euros per MWh correspond to?;100 €/MWh equals 10 ct/kWh. One MWh contains 1,000 kWh, so the euro-per-MWh value is divided by 100 to convert it to ct/kWh.;0
Energie;Strom und Elektrotechnik;Was ist eine durchschnittliche Leistung?;Sie entsteht, wenn man eine Energiemenge durch die Zeit teilt. Ein Haushalt mit 3.500 kWh Jahresverbrauch hat im Jahresmittel ungefähr 0,4 kW Leistung, obwohl einzelne Geräte viel mehr Leistung benötigen können.;What is average power?;It results from dividing an amount of energy by time. A household with 3,500 kWh of annual consumption has on average about 0.4 kW of power, even though individual appliances can need far more power.;0
Energie;Strom und Elektrotechnik;Was sagt der Wirkungsgrad einer Kraftwerkstechnik aus?;Der Wirkungsgrad sagt, wie viel von der eingesetzten Energie am Ende als Nutzenergie herauskommt. Bei 40 Prozent Wirkungsgrad werden aus 100 Einheiten Brennstoff 40 Einheiten Strom, der Rest geht meist als Wärme verloren. Je höher der Wirkungsgrad, desto weniger Brennstoff braucht man für die gleiche Strommenge.;What does the efficiency of a power technology tell you?;Efficiency tells you how much of the energy you put in comes out as useful energy. At 40 percent efficiency, 100 units of fuel become 40 units of electricity and the rest is usually lost as heat. The higher the efficiency, the less fuel you need for the same amount of electricity.;0
Energie;Strom und Elektrotechnik;Wie ordnet man die Wirkungsgrade der wichtigsten Stromtechnologien grob ein?;Grobe Faustwerte für die Umwandlung in Strom: Gas-und-Dampf-Kraftwerk rund 55 bis 63 Prozent, modernes Kohlekraftwerk rund 40 bis 46 Prozent, Kernkraftwerk rund 33 bis 37 Prozent, einfache Gasturbine rund 35 bis 42 Prozent. Photovoltaik-Module rund 20 Prozent, Windkraft real rund 40 bis 50 Prozent der theoretischen Grenze. Wasserkraft ist mit rund 90 Prozent Spitzenreiter.;How can you roughly rank the efficiencies of the main power technologies?;Rough rules of thumb for converting to electricity: combined-cycle gas plant about 55 to 63 percent, modern coal plant about 40 to 46 percent, nuclear plant about 33 to 37 percent, simple gas turbine about 35 to 42 percent. Solar PV modules about 20 percent, wind about 40 to 50 percent of the theoretical limit in practice. Hydropower is the leader at about 90 percent.;0
Energie;Strom und Elektrotechnik;Warum haben thermische Kraftwerke selten mehr als 60 Prozent Wirkungsgrad?;Kraftwerke, die Wärme in Strom umwandeln, sind an ein physikalisches Gesetz gebunden: Nur der Temperaturunterschied zwischen heißem Dampf und kühler Umgebung lässt sich nutzen. Ein großer Teil der Wärme muss immer ungenutzt abgegeben werden. Deshalb ist bei rund 60 Prozent auch mit bester Technik meist Schluss.;Why do thermal power plants rarely exceed 60 percent efficiency?;Plants that turn heat into electricity are bound by a law of physics: only the temperature difference between hot steam and the cool surroundings can be used. A large share of the heat must always be released unused. That is why even the best technology usually tops out at around 60 percent.;0
Energie;Strom und Elektrotechnik;Was ist Energiedichte und warum ist sie wichtig?;Die Energiedichte sagt, wie viel Energie in einer bestimmten Menge eines Stoffes steckt, zum Beispiel pro Kilogramm. Benzin und Diesel haben eine sehr hohe Energiedichte, deshalb kommt man mit einem kleinen Tank weit. Batterien speichern pro Kilogramm viel weniger Energie, deshalb sind sie schwer. Wasserstoff hat pro Kilogramm viel Energie, braucht aber viel Volumen.;What is energy density and why does it matter?;Energy density tells you how much energy is stored in a given amount of a substance, for example per kilogram. Petrol and diesel have a very high energy density, which is why a small tank takes you far. Batteries store far less energy per kilogram, which is why they are heavy. Hydrogen holds a lot of energy per kilogram but needs a lot of volume.;0
Energie;Strom und Elektrotechnik;Was ist Wirkleistung?;Wirkleistung ist der Teil der elektrischen Leistung, der tatsächlich Arbeit verrichtet, also Geräte antreibt, heizt oder Licht erzeugt. Sie wird in Watt gemessen, im Netz meist in Megawatt. Wenn im Alltag von Stromverbrauch die Rede ist, ist die Wirkleistung gemeint.;What is active power?;Active power is the part of electrical power that actually does work, meaning it drives devices, produces heat or makes light. It is measured in watts, in the grid usually in megawatts. When everyday language talks about electricity consumption, it means active power.;0
Energie;Strom und Elektrotechnik;Was ist Blindleistung?;Blindleistung entsteht bei Wechselstrom durch Bauteile wie Motoren, Transformatoren oder Kabel, die Energie kurzzeitig speichern und wieder abgeben. Sie verrichtet keine echte Arbeit, pendelt aber im Netz hin und her und belastet die Leitungen. Man braucht Blindleistung trotzdem, weil sie hilft, die Spannung im Netz stabil zu halten. Sie wird in var gemessen.;What is reactive power?;Reactive power arises in alternating current from components such as motors, transformers or cables that briefly store energy and release it again. It does no real work, but it swings back and forth in the grid and loads the lines. Reactive power is still needed because it helps keep the voltage in the grid stable. It is measured in var.;0
Energie;Strom und Elektrotechnik;Was ist Scheinleistung und wie hängt sie mit Wirk- und Blindleistung zusammen?;Scheinleistung ist die gesamte Leistung, die eine Leitung transportieren muss, also die Kombination aus Wirk- und Blindleistung. Sie wird in Voltampere gemessen. Man kann es sich wie ein Bier vorstellen: Die Wirkleistung ist die Flüssigkeit, die Blindleistung der Schaum, und die Scheinleistung ist das ganze Glas. Leitungen und Transformatoren müssen für die Scheinleistung ausgelegt sein.;What is apparent power and how does it relate to active and reactive power?;Apparent power is the total power a line has to carry, that is the combination of active and reactive power. It is measured in volt-amperes. Think of a glass of beer: active power is the liquid, reactive power is the foam, and apparent power is the whole glass. Lines and transformers must be sized for the apparent power.;0
Energie;Strom und Elektrotechnik;Was bedeutet der Leistungsfaktor (cos phi)?;Der Leistungsfaktor sagt, welcher Anteil der transportierten Scheinleistung wirklich als nutzbare Wirkleistung ankommt. Ein Wert nahe 1 ist gut, dann fließt fast nur Wirkleistung. Ein niedriger Wert bedeutet viel Blindleistung und damit unnötige Belastung der Leitungen. Deshalb versucht man, den Leistungsfaktor nahe 1 zu halten.;What does the power factor (cos phi) mean?;The power factor tells you what share of the transported apparent power actually arrives as usable active power. A value close to 1 is good, because then almost only active power flows. A low value means a lot of reactive power and therefore needless loading of the lines. That is why one tries to keep the power factor close to 1.;0
Energie;Energieträger und Stromerzeugung;Was ist ein Energieträger?;Ein Energieträger ist ein Stoff oder eine Energieform, aus der Energie gewonnen, übertragen oder genutzt werden kann. Beispiele sind Kohle, Erdgas, Uran, Wind, Sonne und Wasser.;What is an energy source?;An energy source is a substance or form of energy from which energy can be obtained, transferred or used. Examples are coal, natural gas, uranium, wind, sun and water.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen Primärenergie und Strom?;Primärenergie steht in natürlichen Quellen oder Energieträgern zur Verfügung. Strom ist ein sekundärer Energieträger, der durch Umwandlung erzeugt wird.;What is the difference between primary energy and electricity?;Primary energy is available in natural sources or energy carriers. Electricity is a secondary energy carrier produced through conversion.;0
Energie;Energieträger und Stromerzeugung;Was sind fossile Energieträger?;Kohle, Erdöl und Erdgas sind fossile Energieträger. Sie entstanden aus organischem Material über geologische Zeiträume und sind auf menschlichen Zeitskalen nicht erneuerbar.;What are fossil fuels?;Coal, oil and natural gas are fossil fuels. They formed from organic material over geological timescales and are not renewable on human timescales.;0
Energie;Energieträger und Stromerzeugung;Wie entstehen Kohle, Erdöl und Erdgas?;Sie entstanden überwiegend aus organischem Material, das unter Druck, Wärme und teilweise ohne Sauerstoff über Millionen Jahre umgewandelt wurde.;How do coal, oil and natural gas form?;They mostly formed from organic material that was transformed over millions of years under pressure, heat and, in part, without oxygen.;0
Energie;Energieträger und Stromerzeugung;Was sind erneuerbare Energien?;Erneuerbare Energien stammen aus Quellen, die sich auf menschlichen Zeitskalen erneuern oder dauerhaft verfügbar sind. Dazu gehören Sonne, Wind, Wasser, Biomasse und Geothermie.;What are renewable energies?;Renewable energies come from sources that renew themselves on human timescales or are permanently available. These include sun, wind, water, biomass and geothermal energy.;0
Energie;Energieträger und Stromerzeugung;Was ist Photovoltaik?;Photovoltaik wandelt Licht mithilfe von Solarzellen direkt in elektrische Energie um. Die Leistung hängt unter anderem von Einstrahlung, Temperatur, Ausrichtung und Anlagengröße ab.;What is photovoltaics?;Photovoltaics converts light directly into electrical energy using solar cells. Output depends, among other things, on irradiance, temperature, orientation and system size.;0
Energie;Energieträger und Stromerzeugung;Was ist Windenergie?;Windenergie nutzt die Bewegungsenergie der Luft. Rotorblätter treiben über eine Welle und meist einen Generator eine elektrische Maschine an.;What is wind energy?;Wind energy uses the kinetic energy of moving air. Rotor blades drive an electrical machine, usually a generator, via a shaft.;0
Energie;Energieträger und Stromerzeugung;Warum schwankt die Leistung von Wind- und Solaranlagen?;Wind und Sonneneinstrahlung sind zeitlich und örtlich veränderlich. Deshalb schwankt die erzeugte Leistung und muss im Stromsystem ausgeglichen werden.;Why does the output of wind and solar plants fluctuate?;Wind and solar irradiance vary over time and place. That is why the electricity generated fluctuates and has to be balanced within the power system.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen Leistung und Ertrag einer Anlage?;Leistung ist die momentane Abgabeleistung. Ertrag ist die über einen Zeitraum erzeugte Energiemenge, zum Beispiel die Jahresproduktion in MWh.;What is the difference between a plant's power and its yield?;Power is the instantaneous output. Yield is the amount of energy generated over a period, for example annual production in MWh.;0
Energie;Energieträger und Stromerzeugung;Warum kann Biomasse erneuerbar sein?;Biomasse kann erneuerbar sein, wenn sie nachhaltig nachwächst und nicht schneller verbraucht wird, als sie sich regeneriert. Die Klimabilanz hängt von Anbau, Transport und Nutzung ab.;Why can biomass be renewable?;Biomass can be renewable if it regrows sustainably and is not used up faster than it regenerates. Its climate footprint depends on cultivation, transport and use.;0
Energie;Energieträger und Stromerzeugung;Was ist Geothermie?;Geothermie nutzt die Wärme aus dem Erdinneren. Sie kann direkt zum Heizen oder über geeignete Kraftwerke zur Stromerzeugung genutzt werden.;What is geothermal energy?;Geothermal energy uses heat from inside the Earth. It can be used directly for heating or, via suitable plants, to generate electricity.;0
Energie;Energieträger und Stromerzeugung;Was macht ein Generator?;Ein Generator wandelt mechanische Energie in elektrische Energie um. Turbinen oder Windrotoren können den Generator antreiben.;What does a generator do?;A generator converts mechanical energy into electrical energy. Turbines or wind rotors can drive the generator.;0
Energie;Energieträger und Stromerzeugung;Was ist ein Kraftwerk?;Ein Kraftwerk wandelt eine Energieform in elektrische Energie um. Die Energie kann aus Brennstoffen, Kernenergie, Wasser, Wind oder Sonne stammen.;What is a power plant?;A power plant converts a form of energy into electrical energy. That energy can come from fuels, nuclear energy, water, wind or sun.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen installierter Leistung und Erzeugung?;Installierte Leistung ist die maximal vorgesehene Leistung einer Anlage. Erzeugung ist die tatsächlich produzierte Energiemenge über einen Zeitraum.;What is the difference between installed capacity and generation?;Installed capacity is the maximum power a plant is designed for. Generation is the amount of energy actually produced over a period.;0
Energie;Energieträger und Stromerzeugung;Was bedeutet Nennleistung?;Die Nennleistung ist die Leistung, für die eine Anlage oder ein Gerät ausgelegt und spezifiziert ist. Sie ist nicht automatisch die dauerhaft tatsächlich erzeugte Leistung.;What does rated power mean?;Rated power is the power a plant or device is designed and specified for. It is not automatically the power actually produced continuously.;0
Energie;Energieträger und Stromerzeugung;Was ist ein Batteriespeicher?;Ein Batteriespeicher nimmt elektrische Energie elektrochemisch auf und gibt sie später wieder ab. Beim Laden und Entladen entstehen Umwandlungsverluste.;What is a battery storage system?;A battery storage system absorbs electrical energy electrochemically and releases it again later. Conversion losses occur during both charging and discharging.;0
Energie;Energieträger und Stromerzeugung;Warum braucht ein Stromsystem Flexibilität?;Flexibilität ermöglicht es, Erzeugung, Verbrauch oder Speicherung zeitlich anzupassen. Sie hilft, Schwankungen und Prognosefehler auszugleichen.;Why does a power system need flexibility?;Flexibility makes it possible to adjust generation, consumption or storage over time. It helps balance fluctuations and forecast errors.;0
Energie;Energieträger und Stromerzeugung;Was ist Residuallast?;Residuallast ist die verbleibende Last nach Abzug der Einspeisung ausgewählter erneuerbarer Anlagen, insbesondere Wind und Photovoltaik.;What is residual load?;Residual load is the remaining load after subtracting the feed-in of selected renewable plants, especially wind and photovoltaics.;0
Energie;Energieträger und Stromerzeugung;Was bedeutet Abregelung?;Abregelung bedeutet, dass eine Anlage weniger Leistung einspeist, als sie unter den aktuellen Bedingungen erzeugen könnte. Gründe können Netzengpässe oder ein Überangebot sein.;What does curtailment mean?;Curtailment means a plant feeds in less power than it could generate under current conditions. Reasons can include grid bottlenecks or oversupply.;0
Energie;Energieträger und Stromerzeugung;Wie viel Strom verbraucht ein durchschnittlicher Haushalt in Deutschland?;Als grober Lernwert gelten etwa 3.000 bis 4.000 kWh pro Jahr für einen Haushalt ohne elektrische Raumheizung. Die tatsächliche Menge hängt vor allem von Haushaltsgröße, Wohnfläche, Warmwasser, Heizung und Elektroauto ab. Das ist ein Richtwert, kein fester amtlicher Einzelwert.;How much electricity does an average household in Germany use?;A rough rule of thumb is about 3,000 to 4,000 kWh per year for a household without electric space heating. The actual amount depends mainly on household size, living area, hot water, heating and an electric car. This is a guideline, not a fixed official single value.;0
Energie;Energieträger und Stromerzeugung;Wie viel sind 3.500 kWh im Monat und pro Tag?;3.500 kWh pro Jahr entsprechen im Mittel rund 292 kWh pro Monat oder 9,6 kWh pro Tag. Der echte Verbrauch schwankt: Kühlschrank und Stand-by laufen ständig, Kochen und Waschen fallen zu bestimmten Zeiten an.;How much is 3,500 kWh per month and per day?;3,500 kWh per year equals on average about 292 kWh per month or 9.6 kWh per day. Real consumption fluctuates: the fridge and standby devices run constantly, while cooking and laundry happen at certain times.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen Haushaltsverbrauch und dem Stromverbrauch Deutschlands?;Ein Haushalt ist nur ein Teil des Systems. Deutschland umfasst zusätzlich Industrie, Gewerbe, Verkehr, öffentliche Einrichtungen, Netzverluste sowie Importe und Exporte. Deshalb kann man Haushaltswerte nicht einfach mit dem nationalen Stromwert gleichsetzen.;What is the difference between household consumption and Germany's electricity consumption?;A household is only one part of the system. Germany also includes industry, commerce, transport, public facilities, grid losses, plus imports and exports. That is why household figures cannot simply be equated with the national electricity figure.;0
Energie;Energieträger und Stromerzeugung;Wie groß war die deutsche Stromerzeugung 2025 ungefähr?;Die Bundesnetzagentur meldete für 2025 rund 437,6 TWh tatsächliche Netto-Stromerzeugung. Das ist eine Systemgröße und nicht der Verbrauch eines einzelnen Haushalts. Die Definition von SMARD berücksichtigt unter anderem nicht jede private Eigenversorgung.;Roughly how large was German electricity generation in 2025?;The Bundesnetzagentur reported about 437.6 TWh of actual net electricity generation for 2025. That is a system-wide figure, not the consumption of a single household. SMARD's definition does not, among other things, capture every form of private self-supply.;0
Energie;Energieträger und Stromerzeugung;Wie viel sind 437,6 TWh in kWh?;437,6 TWh entsprechen 437,6 Milliarden kWh. Eine TWh enthält eine Milliarde kWh. Die Größenordnung zeigt, warum nationale Strommengen in TWh und nicht in kWh angegeben werden.;How much is 437.6 TWh in kWh?;437.6 TWh equals 437.6 billion kWh. One TWh contains one billion kWh. This scale shows why national electricity volumes are given in TWh rather than kWh.;0
Energie;Energieträger und Stromerzeugung;Wie kann man die deutsche Strommenge pro Kopf grob vergleichen?;Teilt man 437,6 TWh rechnerisch durch rund 84 Millionen Einwohner, erhält man etwa 5.200 kWh pro Person und Jahr. Das ist ein Wert der nationalen Stromerzeugung pro Kopf, nicht der persönliche Haushaltsverbrauch.;How can you roughly compare Germany's electricity volume per capita?;Dividing 437.6 TWh by roughly 84 million residents gives about 5,200 kWh per person per year. This is a figure for national electricity generation per capita, not personal household consumption.;0
Energie;Energieträger und Stromerzeugung;Was bedeuteten die SMARD-Zahlen zur Stromerzeugung 2025?;SMARD beziehungsweise die Bundesnetzagentur meldeten für 2025 rund 257,5 TWh erneuerbare Erzeugung und einen Anteil von 58,8 % an der dort definierten Netto-Erzeugung. Die Bezugsgröße und der Datenstand müssen immer mitgelesen werden.;What did the SMARD figures on 2025 electricity generation show?;SMARD, via the Bundesnetzagentur, reported about 257.5 TWh of renewable generation for 2025 and a share of 58.8% of the net generation as defined there. The reference basis and data status always need to be read alongside the figure.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen einer Leistung von 1 GW und einer Energie von 1 GWh?;1 GW beschreibt eine Leistung. Wenn diese Leistung eine Stunde lang abgegeben wird, entstehen 1 GWh Energie. Läuft eine Anlage mit 1 GW rechnerisch ein ganzes Jahr durch, wären es 8,76 TWh.;What is the difference between a power of 1 GW and an energy of 1 GWh?;1 GW describes a power. If that power is delivered for one hour, 1 GWh of energy results. If a plant ran at 1 GW continuously for a whole year, that would be 8.76 TWh.;0
Energie;Energieträger und Stromerzeugung;Was ist Kohle und wie ist sie entstanden?;Kohle ist ein fester fossiler Brennstoff aus versteinerten Pflanzenresten. Vor vielen Millionen Jahren versanken Pflanzen in Sümpfen, wurden von Schichten bedeckt und unter Druck und Hitze langsam zu Kohle. Man unterscheidet vor allem energiereiche Steinkohle und feuchtere, energieärmere Braunkohle.;What is coal and how did it form?;Coal is a solid fossil fuel made from fossilised plant remains. Many millions of years ago, plants sank into swamps, were buried under layers and slowly turned into coal under pressure and heat. The main types are energy-rich hard coal and moister, lower-energy lignite (brown coal).;0
Energie;Energieträger und Stromerzeugung;Wie wird Kohle gewonnen und wie lange nutzt der Mensch sie schon?;Kohle wird im Tagebau nahe der Oberfläche oder im Bergbau tief unter der Erde abgebaut. In großem Maßstab nutzt der Mensch sie seit der Industrialisierung im 18. und 19. Jahrhundert, als Dampfmaschinen viel Brennstoff brauchten. Weltweit gibt es noch große Kohlevorräte, sie gilt aber als besonders klimaschädlich.;How is coal extracted and how long have humans used it?;Coal is mined in open pits near the surface or deep underground. Humans have used it on a large scale since industrialisation in the 18th and 19th centuries, when steam engines needed a lot of fuel. Large coal reserves still exist worldwide, but coal is considered especially harmful to the climate.;0
