parent_category;subcategory;front;back;is_bidirectional
Energie;Strom und Elektrotechnik;Wie berechnet man elektrische Energie?;Bei konstanter Leistung gilt E = P · t. Mit P in kW und t in Stunden erhält man E in kWh.;0
Energie;Strom und Elektrotechnik;Was ist ein Wirkungsgrad?;Der Wirkungsgrad ist das Verhältnis von nutzbarer abgegebener Energie zur zugeführten Energie. Er wird häufig als Prozentwert angegeben.;0
Energie;Strom und Elektrotechnik;Was sind Volllaststunden?;Volllaststunden sind der Jahresertrag geteilt durch die Nennleistung. Sie zeigen, wie lange eine Anlage rechnerisch mit voller Leistung hätte laufen müssen, um ihren tatsächlichen Ertrag zu erzeugen.;0
Energie;Strom und Elektrotechnik;Was ist der Kapazitätsfaktor?;Der Kapazitätsfaktor ist das Verhältnis des tatsächlichen Ertrags zum theoretischen Ertrag bei durchgehender Nennleistung im betrachteten Zeitraum.;0
Energie;Strom und Elektrotechnik;Was ist eine prozentuale Abweichung?;Eine prozentuale Abweichung vergleicht die Differenz zwischen Istwert und Vergleichswert mit dem Vergleichswert: (Istwert − Vergleichswert) / Vergleichswert · 100.;0
Energie;Strom und Elektrotechnik;Wann addiert man Viertelstundenwerte?;Energiemengen über mehrere Zeitintervalle werden normalerweise addiert. Leistungswerte oder Preise werden je nach Fragestellung gemittelt oder zeitlich gewichtet.;0
Energie;Strom und Elektrotechnik;Was bedeutet 1 kW?;1 kW sind 1.000 W. kW ist eine Einheit der Leistung und sagt, wie schnell Energie umgesetzt oder übertragen wird.;0
Energie;Strom und Elektrotechnik;Wie hängen W, kW, MW und GW zusammen?;1 kW = 1.000 W, 1 MW = 1.000 kW und 1 GW = 1.000 MW. Jede Stufe ist tausendmal größer als die vorherige.;0
Energie;Strom und Elektrotechnik;Wie hängen Wh, kWh, MWh, GWh und TWh zusammen?;1 kWh = 1.000 Wh, 1 MWh = 1.000 kWh, 1 GWh = 1.000 MWh und 1 TWh = 1.000 GWh. Diese Einheiten messen Energiemengen.;0
Energie;Strom und Elektrotechnik;Warum ist kW/h nicht dasselbe wie kWh?;kWh ist eine Energiemenge. kW/h beschreibt dagegen eine Änderung der Leistung pro Zeit und wird im normalen Stromverbrauch fast nie gebraucht. Für Verbrauch ist kWh die richtige Einheit.;0
Energie;Strom und Elektrotechnik;Was kann man sich unter 1 kWh vorstellen?;Ein Heizgerät mit 1 kW kann eine Stunde laufen. Ein Wasserkocher mit 2 kW verbraucht bei 30 Minuten Laufzeit ungefähr 1 kWh. Eine LED-Lampe mit 10 W könnte theoretisch 100 Stunden leuchten.;0
Energie;Strom und Elektrotechnik;Wie viel Energie entspricht 100 Euro pro MWh?;100 €/MWh entsprechen 10 ct/kWh. Eine MWh enthält 1.000 kWh, deshalb wird der Euro-pro-MWh-Wert durch 100 geteilt, wenn man ihn in ct/kWh umrechnet.;0
Energie;Strom und Elektrotechnik;Was ist eine durchschnittliche Leistung?;Sie entsteht, wenn man eine Energiemenge durch die Zeit teilt. Ein Haushalt mit 3.500 kWh Jahresverbrauch hat im Jahresmittel ungefähr 0,4 kW Leistung, obwohl einzelne Geräte viel mehr Leistung benötigen können.;0
Energie;Energieträger und Stromerzeugung;Was ist ein Energieträger?;Ein Energieträger ist ein Stoff oder eine Energieform, aus der Energie gewonnen, übertragen oder genutzt werden kann. Beispiele sind Kohle, Erdgas, Uran, Wind, Sonne und Wasser.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen Primärenergie und Strom?;Primärenergie steht in natürlichen Quellen oder Energieträgern zur Verfügung. Strom ist ein sekundärer Energieträger, der durch Umwandlung erzeugt wird.;0
Energie;Energieträger und Stromerzeugung;Was sind fossile Energieträger?;Kohle, Erdöl und Erdgas sind fossile Energieträger. Sie entstanden aus organischem Material über geologische Zeiträume und sind auf menschlichen Zeitskalen nicht erneuerbar.;0
Energie;Energieträger und Stromerzeugung;Wie entstehen Kohle, Erdöl und Erdgas?;Sie entstanden überwiegend aus organischem Material, das unter Druck, Wärme und teilweise ohne Sauerstoff über Millionen Jahre umgewandelt wurde.;0
Energie;Energieträger und Stromerzeugung;Was sind erneuerbare Energien?;Erneuerbare Energien stammen aus Quellen, die sich auf menschlichen Zeitskalen erneuern oder dauerhaft verfügbar sind. Dazu gehören Sonne, Wind, Wasser, Biomasse und Geothermie.;0
Energie;Energieträger und Stromerzeugung;Was ist Photovoltaik?;Photovoltaik wandelt Licht mithilfe von Solarzellen direkt in elektrische Energie um. Die Leistung hängt unter anderem von Einstrahlung, Temperatur, Ausrichtung und Anlagengröße ab.;0
Energie;Energieträger und Stromerzeugung;Was ist Windenergie?;Windenergie nutzt die Bewegungsenergie der Luft. Rotorblätter treiben über eine Welle und meist einen Generator eine elektrische Maschine an.;0
Energie;Energieträger und Stromerzeugung;Warum schwankt die Leistung von Wind- und Solaranlagen?;Wind und Sonneneinstrahlung sind zeitlich und örtlich veränderlich. Deshalb schwankt die erzeugte Leistung und muss im Stromsystem ausgeglichen werden.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen Leistung und Ertrag einer Anlage?;Leistung ist die momentane Abgabeleistung. Ertrag ist die über einen Zeitraum erzeugte Energiemenge, zum Beispiel die Jahresproduktion in MWh.;0
Energie;Energieträger und Stromerzeugung;Warum kann Biomasse erneuerbar sein?;Biomasse kann erneuerbar sein, wenn sie nachhaltig nachwächst und nicht schneller verbraucht wird, als sie sich regeneriert. Die Klimabilanz hängt von Anbau, Transport und Nutzung ab.;0
Energie;Energieträger und Stromerzeugung;Was ist Geothermie?;Geothermie nutzt die Wärme aus dem Erdinneren. Sie kann direkt zum Heizen oder über geeignete Kraftwerke zur Stromerzeugung genutzt werden.;0
Energie;Energieträger und Stromerzeugung;Was macht ein Generator?;Ein Generator wandelt mechanische Energie in elektrische Energie um. Turbinen oder Windrotoren können den Generator antreiben.;0
Energie;Energieträger und Stromerzeugung;Was ist ein Kraftwerk?;Ein Kraftwerk wandelt eine Energieform in elektrische Energie um. Die Energie kann aus Brennstoffen, Kernenergie, Wasser, Wind oder Sonne stammen.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen installierter Leistung und Erzeugung?;Installierte Leistung ist die maximal vorgesehene Leistung einer Anlage. Erzeugung ist die tatsächlich produzierte Energiemenge über einen Zeitraum.;0
Energie;Energieträger und Stromerzeugung;Was bedeutet Nennleistung?;Die Nennleistung ist die Leistung, für die eine Anlage oder ein Gerät ausgelegt und spezifiziert ist. Sie ist nicht automatisch die dauerhaft tatsächlich erzeugte Leistung.;0
Energie;Energieträger und Stromerzeugung;Was ist ein Batteriespeicher?;Ein Batteriespeicher nimmt elektrische Energie elektrochemisch auf und gibt sie später wieder ab. Beim Laden und Entladen entstehen Umwandlungsverluste.;0
Energie;Energieträger und Stromerzeugung;Warum braucht ein Stromsystem Flexibilität?;Flexibilität ermöglicht es, Erzeugung, Verbrauch oder Speicherung zeitlich anzupassen. Sie hilft, Schwankungen und Prognosefehler auszugleichen.;0
Energie;Energieträger und Stromerzeugung;Was ist Residuallast?;Residuallast ist die verbleibende Last nach Abzug der Einspeisung ausgewählter erneuerbarer Anlagen, insbesondere Wind und Photovoltaik.;0
Energie;Energieträger und Stromerzeugung;Was bedeutet Abregelung?;Abregelung bedeutet, dass eine Anlage weniger Leistung einspeist, als sie unter den aktuellen Bedingungen erzeugen könnte. Gründe können Netzengpässe oder ein Überangebot sein.;0
Energie;Energieträger und Stromerzeugung;Wie viel Strom verbraucht ein durchschnittlicher Haushalt in Deutschland?;Als grober Lernwert gelten etwa 3.000 bis 4.000 kWh pro Jahr für einen Haushalt ohne elektrische Raumheizung. Die tatsächliche Menge hängt vor allem von Haushaltsgröße, Wohnfläche, Warmwasser, Heizung und Elektroauto ab. Das ist ein Richtwert, kein fester amtlicher Einzelwert.;0
Energie;Energieträger und Stromerzeugung;Wie viel sind 3.500 kWh im Monat und pro Tag?;3.500 kWh pro Jahr entsprechen im Mittel rund 292 kWh pro Monat oder 9,6 kWh pro Tag. Der echte Verbrauch schwankt: Kühlschrank und Stand-by laufen ständig, Kochen und Waschen fallen zu bestimmten Zeiten an.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen Haushaltsverbrauch und dem Stromverbrauch Deutschlands?;Ein Haushalt ist nur ein Teil des Systems. Deutschland umfasst zusätzlich Industrie, Gewerbe, Verkehr, öffentliche Einrichtungen, Netzverluste sowie Importe und Exporte. Deshalb kann man Haushaltswerte nicht einfach mit dem nationalen Stromwert gleichsetzen.;0
Energie;Energieträger und Stromerzeugung;Wie groß war die deutsche Stromerzeugung 2025 ungefähr?;Die Bundesnetzagentur meldete für 2025 rund 437,6 TWh tatsächliche Netto-Stromerzeugung. Das ist eine Systemgröße und nicht der Verbrauch eines einzelnen Haushalts. Die Definition von SMARD berücksichtigt unter anderem nicht jede private Eigenversorgung.;0
Energie;Energieträger und Stromerzeugung;Wie viel sind 437,6 TWh in kWh?;437,6 TWh entsprechen 437,6 Milliarden kWh. Eine TWh enthält eine Milliarde kWh. Die Größenordnung zeigt, warum nationale Strommengen in TWh und nicht in kWh angegeben werden.;0
Energie;Energieträger und Stromerzeugung;Wie kann man die deutsche Strommenge pro Kopf grob vergleichen?;Teilt man 437,6 TWh rechnerisch durch rund 84 Millionen Einwohner, erhält man etwa 5.200 kWh pro Person und Jahr. Das ist ein Wert der nationalen Stromerzeugung pro Kopf, nicht der persönliche Haushaltsverbrauch.;0
Energie;Energieträger und Stromerzeugung;Was bedeuteten die SMARD-Zahlen zur Stromerzeugung 2025?;SMARD beziehungsweise die Bundesnetzagentur meldeten für 2025 rund 257,5 TWh erneuerbare Erzeugung und einen Anteil von 58,8 % an der dort definierten Netto-Erzeugung. Die Bezugsgröße und der Datenstand müssen immer mitgelesen werden.;0
Energie;Energieträger und Stromerzeugung;Was ist der Unterschied zwischen einer Leistung von 1 GW und einer Energie von 1 GWh?;1 GW beschreibt eine Leistung. Wenn diese Leistung eine Stunde lang abgegeben wird, entstehen 1 GWh Energie. Läuft eine Anlage mit 1 GW rechnerisch ein ganzes Jahr durch, wären es 8,76 TWh.;0
Energie;Stromnetz und Übertragungsnetz;Welche Hauptbereiche hat ein Stromsystem?;Ein Stromsystem umfasst Erzeugung, Übertragung, Verteilung und Verbrauch. Zusätzlich gehören Messung, Marktprozesse, Systemführung und Regelung dazu.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Übertragungsnetz?;Das Übertragungsnetz transportiert große elektrische Leistungen über weite Entfernungen. Es arbeitet mit sehr hohen Spannungen und verbindet Regionen, Erzeugungszentren und Nachbarländer.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Verteilnetz?;Das Verteilnetz verteilt elektrische Energie von Umspannwerken zu Gewerbe, Industrie und Haushalten.;0
Energie;Stromnetz und Übertragungsnetz;Welche Spannungsebenen gibt es?;Man unterscheidet grundsätzlich Höchstspannung, Hochspannung, Mittelspannung und Niederspannung. Die genauen Spannungswerte können je nach Netz und Anwendung variieren.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Freileitungsmast?;Ein Freileitungsmast trägt Leiterseile und hält sie mit ausreichendem Abstand zu Boden und anderen Bauteilen.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Leiterseil?;Ein Leiterseil führt den elektrischen Strom einer Freileitung. Es besteht häufig aus Aluminium oder Aluminiumlegierungen und kann mechanisch verstärkt sein.;0
Energie;Stromnetz und Übertragungsnetz;Was machen Isolatoren?;Isolatoren halten Leiterseile am Mast und isolieren sie elektrisch vom Mast. Dadurch wird ein Stromfluss zur Erde verhindert.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Erdkabel?;Ein Erdkabel führt elektrische Energie unterirdisch. Es benötigt Isolation, mechanischen Schutz und ausreichende Wärmeabfuhr.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Umspannwerk?;Ein Umspannwerk verbindet Netzebenen oder Leitungen. Dort kann die Spannung verändert, geschaltet, gemessen und geschützt werden.;0
Energie;Stromnetz und Übertragungsnetz;Was ist eine Schaltanlage?;Eine Schaltanlage verbindet, schützt und schaltet elektrische Betriebsmittel. Dazu gehören unter anderem Sammelschienen, Leistungsschalter und Messwandler.;0
Energie;Stromnetz und Übertragungsnetz;Was macht ein Leistungsschalter?;Ein Leistungsschalter kann Stromkreise im Normalbetrieb und bei Fehlern schalten. Bei einem Kurzschluss kann er den Fehlerstrom sicher unterbrechen.;0
Energie;Stromnetz und Übertragungsnetz;Was macht ein Schutzrelais?;Ein Schutzrelais überwacht elektrische Größen und erkennt unzulässige Zustände. Es kann einen Leistungsschalter auslösen und den Fehler begrenzen.;0
Energie;Stromnetz und Übertragungsnetz;Was ist eine Sammelschiene?;Eine Sammelschiene ist ein leitfähiger Verbindungspunkt in einer Schaltanlage. Über sie werden mehrere Leitungen oder Betriebsmittel verbunden.;0
Energie;Stromnetz und Übertragungsnetz;Warum wird Spannung für den Transport erhöht?;Bei gleicher Leistung führt eine höhere Spannung zu einem kleineren Strom. Dadurch sinken die ohmschen Leitungsverluste, die ungefähr mit I² · R wachsen.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Messwandler?;Ein Messwandler bildet hohe Spannungen oder Ströme auf kleinere messbare Werte ab. So können Mess- und Schutzgeräte sicher angeschlossen werden.;0
Energie;Stromnetz und Übertragungsnetz;Was macht ein Übertragungsnetzbetreiber?;Ein Übertragungsnetzbetreiber betreibt das Höchstspannungsnetz, hält die Systemsicherheit aufrecht, koordiniert Stromflüsse und sorgt für den Ausgleich von Erzeugung und Verbrauch.;0
Energie;Stromnetz und Übertragungsnetz;Was macht TenneT grundsätzlich?;TenneT ist ein Übertragungsnetzbetreiber. TenneT betreibt Übertragungsnetze, überwacht den Systemzustand und koordiniert Maßnahmen für einen sicheren Netzbetrieb.;0
Energie;Stromnetz und Übertragungsnetz;Was macht 50Hertz grundsätzlich?;50Hertz ist ein Übertragungsnetzbetreiber. Das Unternehmen betreibt einen Teil des deutschen Übertragungsnetzes und koordiniert Maßnahmen für einen sicheren Stromtransport.;0
Energie;Stromnetz und Übertragungsnetz;Was bedeutet das N-1-Prinzip?;Das N-1-Prinzip bedeutet, dass der Ausfall eines einzelnen wichtigen Betriebsmittels beherrschbar sein soll, ohne dass die Systemsicherheit verloren geht.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Netzengpass?;Ein Netzengpass liegt vor, wenn eine Leitung oder ein anderes Betriebsmittel seine thermischen, elektrischen oder stabilitätsbedingten Grenzen erreicht.;0
Energie;Stromnetz und Übertragungsnetz;Was passiert bei zu wenig Erzeugungsleistung?;Bei zu wenig Erzeugungsleistung sinkt die Netzfrequenz tendenziell. Regelreserven müssen zusätzliche Leistung bereitstellen oder Verbrauch muss angepasst werden.;0
Energie;Stromnetz und Übertragungsnetz;Was ist Systemführung?;Systemführung umfasst die Überwachung, Bewertung und Steuerung des Stromnetzes. Dazu gehören Messungen, Prognosen, Schalthandlungen und Sicherheitsmaßnahmen.;0
Energie;Stromnetz und Übertragungsnetz;Was ist HGÜ?;HGÜ bedeutet Hochspannungs-Gleichstrom-Übertragung. Sie wird für große Leistungen über lange Entfernungen oder für bestimmte Seekabelverbindungen eingesetzt.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Konverter bei einer HGÜ-Verbindung?;Ein Konverter wandelt Wechselstrom in Gleichstrom oder Gleichstrom in Wechselstrom um. Dadurch kann die HGÜ-Verbindung an Wechselstromnetze angeschlossen werden.;0
Energie;Stromnetz und Übertragungsnetz;Was ist ein Offshore-Netz?;Ein Offshore-Netz verbindet Erzeugungsanlagen auf See mit dem Land und kann mehrere Netzbereiche miteinander verbinden.;0
Energie;Strommarkt und Marktkommunikation;Was ist der Day-Ahead-Markt?;Am Day-Ahead-Markt werden Strommengen für den folgenden Tag gehandelt. Die Gebote werden vor dem Lieferzeitpunkt zusammengeführt.;0
Energie;Strommarkt und Marktkommunikation;Was ist der Intraday-Markt?;Am Intraday-Markt können Marktteilnehmer ihre Positionen näher am Lieferzeitpunkt anpassen. Das ist bei veränderten Prognosen besonders wichtig.;0
Energie;Strommarkt und Marktkommunikation;Was ist die Merit-Order?;Die Merit-Order ordnet verfügbare Kraftwerke nach ihren kurzfristigen Grenzkosten. Günstigere Angebote werden grundsätzlich zuerst berücksichtigt.;0
Energie;Strommarkt und Marktkommunikation;Warum kann der Strompreis steigen?;Der Preis kann steigen, wenn die Nachfrage hoch ist, günstige Erzeugung fehlt oder Brennstoff- und CO₂-Kosten steigen.;0
Energie;Strommarkt und Marktkommunikation;Warum können negative Strompreise entstehen?;Negative Preise können entstehen, wenn viel Strom angeboten wird, die Nachfrage gering ist und Anlagen oder Marktteilnehmer nicht kurzfristig reagieren können.;0
Energie;Strommarkt und Marktkommunikation;Was ist ein Bilanzkreis?;Ein Bilanzkreis ist eine virtuelle energiewirtschaftliche Einheit, in der Einspeisungen, Entnahmen und Handelsgeschäfte bilanziell zusammengefasst werden.;0
Energie;Strommarkt und Marktkommunikation;Was macht ein Bilanzkreisverantwortlicher?;Er plant und verantwortet die Fahrpläne seines Bilanzkreises. Abweichungen zwischen Planung und tatsächlicher Einspeisung oder Entnahme werden bilanziell ausgeglichen.;0
Energie;Strommarkt und Marktkommunikation;Was macht ein Stromlieferant?;Ein Stromlieferant verkauft Strom an Kunden und übernimmt die energiewirtschaftliche Belieferung. Er ist nicht automatisch Betreiber des lokalen Netzes.;0
Energie;Strommarkt und Marktkommunikation;Was ist ein Fahrplan?;Ein Fahrplan beschreibt, welche Leistung oder Energiemenge zu bestimmten Zeitpunkten voraussichtlich erzeugt, verbraucht oder ausgetauscht wird.;0
Energie;Strommarkt und Marktkommunikation;Was ist eine Regelzone?;Eine Regelzone ist ein abgegrenzter Netzbereich, für dessen Bilanz zwischen Erzeugung und Verbrauch ein Übertragungsnetzbetreiber verantwortlich ist.;0
Energie;Strommarkt und Marktkommunikation;Was bedeutet Marktkommunikation?;Marktkommunikation ist der standardisierte Austausch von Stammdaten, Messwerten, Lieferinformationen, Fahrplänen und Abrechnungsdaten zwischen Marktteilnehmern.;0
Energie;Strommarkt und Marktkommunikation;Warum braucht der Strommarkt standardisierte Prozesse?;Standardisierte Prozesse sorgen dafür, dass viele Marktteilnehmer Daten einheitlich austauschen und Lieferantenwechsel, Messung, Bilanzierung und Abrechnung nachvollziehbar ablaufen.;0
Energie;Strommarkt und Marktkommunikation;Was bedeutet MaBiS?;MaBiS steht für Marktprozesse für die Bilanzkreisabrechnung Strom. Die Prozesse regeln unter anderem die Zuordnung und den Austausch relevanter Energiemengen für die Bilanzkreisabrechnung.;0
Energie;Strommarkt und Marktkommunikation;Was bedeutet GPKE?;GPKE steht für Geschäftsprozesse zur Kundenbelieferung mit Elektrizität. Die Prozesse beschreiben unter anderem Abläufe bei Belieferung und Lieferantenwechsel.;0
Energie;Strommarkt und Marktkommunikation;Was bedeutet WiM?;WiM steht für Wechselprozesse im Messwesen. Die Prozesse betreffen unter anderem den Wechsel oder die Zuordnung von Messstellenbetreibern.;0
Energie;Strommarkt und Marktkommunikation;Was ist eine Messlokation?;Eine Messlokation ist der Ort, an dem Energie gemessen wird. Die Messwerte werden Marktprozessen und Abrechnungen zugeordnet.;0
Energie;Strommarkt und Marktkommunikation;Was ist eine Marktlokation?;Eine Marktlokation ist eine Einheit, für die Energiemengen bilanziell oder vertraglich einem Marktpartner zugeordnet werden. Sie ist nicht dasselbe wie ein physischer Zähler.;0
Energie;Strommarkt und Marktkommunikation;Was sind Stammdaten?;Stammdaten sind relativ stabile Informationen über Marktobjekte, zum Beispiel eine Marktlokation, einen Netzanschluss oder einen Vertragspartner.;0
Energie;Strommarkt und Marktkommunikation;Warum sind Viertelstundenwerte wichtig?;Viertelstundenwerte bilden zeitliche Veränderungen von Erzeugung und Verbrauch genauer ab. Sie werden für Prognosen, Bilanzierung und bestimmte Abrechnungsprozesse verwendet.;0
Energie;Strommarkt und Marktkommunikation;Was bedeutet Bilanzierung?;Bilanzierung vergleicht geplante und tatsächliche Energiemengen. Ziel ist, Abweichungen zwischen Einspeisung und Entnahme festzustellen und auszugleichen.;0
Energie;Strommarkt und Marktkommunikation;Wie setzt sich der Strompreis für Haushalte grundsätzlich zusammen?;Er besteht aus Beschaffung und Vertrieb, Netzentgelten, Steuern, Abgaben und Umlagen sowie der Umsatzsteuer. Zusätzlich kann ein Grundpreis anfallen. Die Anteile verändern sich mit Tarif, Region und Jahr.;0
Energie;Strommarkt und Marktkommunikation;Warum kann Strom in Deutschland für Haushalte teuer sein?;Der Endpreis enthält mehr als den Börsenpreis: Beschaffung und Vertrieb, Netzentgelte, staatliche Preisbestandteile und Umsatzsteuer. Außerdem wirken Brennstoffpreise, CO₂-Kosten, Knappheit, Netzausbau und regionale Kosten auf den Preis.;0
Energie;Strommarkt und Marktkommunikation;Wie hoch war ein durchschnittlicher Haushaltsstrompreis 2026 ungefähr?;Die BDEW-Strompreisanalyse Herbst 2026 nennt bisher durchschnittlich 37,0 ct/kWh. Davon entfielen dort 15,2 ct auf Beschaffung und Vertrieb, 9,2 ct auf Netzentgelte und 12,6 ct auf Steuern, Abgaben und Umlagen. Das ist ein Tarifdurchschnitt und keine bundesweit identische Rechnung.;0
Energie;Strommarkt und Marktkommunikation;Warum ist der Börsenpreis nicht gleich dem Preis auf der Stromrechnung?;Der Börsenpreis betrifft die Beschaffung für bestimmte Zeitintervalle. Auf der Rechnung kommen unter anderem Vertrieb, Netznutzung, Steuern, Abgaben, Umlagen, Umsatzsteuer und häufig ein Grundpreis hinzu.;0
Energie;Strommarkt und Marktkommunikation;Was sind Netzentgelte?;Netzentgelte sind Entgelte für die Nutzung der Stromnetze. Sie finanzieren unter anderem Betrieb, Wartung, Messung, Verluste und den Ausbau der Netzinfrastruktur. Sie sind weder der reine Energiepreis noch eine allgemeine Steuer.;0
Energie;Strommarkt und Marktkommunikation;Warum können Netzentgelte regional unterschiedlich und hoch sein?;Netze unterscheiden sich in Länge, Spannungsebene, Auslastung, Instandhaltungsbedarf und notwendigem Ausbau. Kosten werden nach gesetzlichen Regeln auf Netznutzer verteilt. Deshalb sind Netzentgelte je nach Netzgebiet und Kundengruppe unterschiedlich.;0
Energie;Strommarkt und Marktkommunikation;Wer kontrolliert die Netzentgelte?;Die Bundesnetzagentur und je nach Zuständigkeit Landesregulierungsbehörden überwachen die Regulierung der Netze und die zulässigen Erlöse. Netzbetreiber dürfen Entgelte nicht beliebig festlegen.;0
Energie;Strommarkt und Marktkommunikation;Was ist die Bundesnetzagentur im Energiesystem?;Die Bundesnetzagentur ist eine unabhängige Bundesbehörde. Im Energiesektor reguliert und überwacht sie unter anderem Netze und Wettbewerb, begleitet Netzausbau und veröffentlicht Marktdaten. Sie erzeugt den Strom aber nicht selbst.;0
Energie;Strommarkt und Marktkommunikation;Was ist das EEG?;Das Erneuerbare-Energien-Gesetz regelt den Ausbau und die Förderung erneuerbarer Stromerzeugung. Es legt unter anderem Fördermechanismen, Anschluss- und Abnahmeregeln sowie Bedingungen für die Vermarktung fest.;0
Energie;Strommarkt und Marktkommunikation;Wird die EEG-Umlage heute noch auf jeder Stromrechnung erhoben?;Nein. Die EEG-Umlage wurde für Letztverbraucher ab Juli 2022 auf null gesetzt. Seit 2023 wird die Finanzierung der EEG-Förderung im Wesentlichen aus Bundesmitteln organisiert. Das EEG selbst besteht trotzdem weiter.;0
Energie;Strommarkt und Marktkommunikation;Warum bedeutet ein hoher Anteil erneuerbarer Energien nicht automatisch einen niedrigen Haushaltsstrompreis?;Erneuerbare Anlagen können günstigen Strom erzeugen, aber der Endpreis enthält zusätzlich Netzkosten, Vertrieb, Steuern, Abgaben, Umlagen und Umsatzsteuer. Außerdem müssen Netze, Speicher, Reserven und Flexibilität finanziert werden.;0
